nct,drug_query,drug,chembl,drug_type,max_stage,targets,n_targets,moa,phase,n,cond,why,sponsor
NCT02626455,copanlisib,COPANLISIB,CHEMBL3218576,Small molecule,APPROVAL,PIK3CA;PIK3CD,2,PI3-kinase p110-alpha subunit inhibitor; PI3-kinase p110-delta subunit inhibitor,PHASE3,551,"Lymphoma, Non-Hodgkin",Company decided to terminate this study due to study did not meet the primary endpoint.,Bayer
NCT00430677,corticosteroids,PREDNISONE,CHEMBL635,Small molecule,APPROVAL,NR3C1,1,Glucocorticoid receptor agonist,PHASE2/PHASE3,423,Systemic Lupus Erythematosus,Terminated due to failure to meet the primary efficacy endpoint in the Short-term Period,Bristol-Myers Squibb
NCT02626455,cyclophosphamide,LORNOXICAM,CHEMBL1569487,Small molecule,APPROVAL,PTGS1;PTGS2,2,Cyclooxygenase inhibitor,PHASE3,551,"Lymphoma, Non-Hodgkin",Company decided to terminate this study due to study did not meet the primary endpoint.,Bayer
NCT00353574,darusentan,DARUSENTAN,CHEMBL23261,Small molecule,PHASE_3,EDNRA;EDNRB,2,Endothelin receptor ET-A antagonist; Endothelin receptor ET-B antagonist,PHASE3,282,Hypertension,Study DAR-312 did not meet primary co-endpoints,Gilead Sciences
NCT01870609,defactinib,DEFACTINIB,CHEMBL3137331,Small molecule,PHASE_3,PTK2;PTK2B,2,Focal adhesion kinase 1 inhibitor; Protein tyrosine kinase 2 beta inhibitor,PHASE2,344,Malignant Pleural Mesothelioma,Interim analysis-DSMB stated good safety profile but lack of efficacy,"Verastem, Inc."
NCT00215657,degarelix,DEGARELIX,CHEMBL415606,Protein,APPROVAL,GNRHR,1,Gonadotropin-releasing hormone receptor antagonist,PHASE2,131,Prostate Cancer,The doses were not effective in maintaining testosterone suppression,Ferring Pharmaceuticals
NCT01975727,dexamethasone,DEXAMETHASONE,CHEMBL384467,Small molecule,APPROVAL,NR3C1,1,Glucocorticoid receptor agonist,PHASE2,256,Postoperative Nausea and Vomiting|Vomiting,Study was halted prematurely for futility after an intermediate analysis,"University Hospital, Geneva"
NCT05387707,difelikefalin,DIFELIKEFALIN,CHEMBL3989915,Protein,APPROVAL,OPRK1,1,Kappa opioid receptor agonist,PHASE3,287,Pruritus|Atopic Dermatitis,"In Part A of the study, oral difelikefalin as adjunct to topical corticosteroids (TCS) did not demonstrate meaningful clinical benefit compared to TCS alone.","Cara Therapeutics, Inc."
NCT05978063,difelikefalin,DIFELIKEFALIN,CHEMBL3989915,Protein,APPROVAL,OPRK1,1,Kappa opioid receptor agonist,PHASE2/PHASE3,214,Pruritus|Notalgia Paresthetica,"In Part A of CR845-310601, oral difelikefalin did not demonstrate a meaningful clinical benefit at any dose compared to placebo. The drug was generally well tolerated wit","Cara Therapeutics, Inc."
NCT02626455,doxorubicin,DOXORUBICIN,CHEMBL53463,Small molecule,APPROVAL,TOP2A,1,DNA topoisomerase II alpha inhibitor,PHASE3,551,"Lymphoma, Non-Hodgkin",Company decided to terminate this study due to study did not meet the primary endpoint.,Bayer
NCT00005047,doxorubicin hydrochloride,DOXORUBICIN HYDROCHLORIDE,CHEMBL359744,Small molecule,APPROVAL,TOP2A,1,DNA topoisomerase II alpha inhibitor,PHASE3,521,Bladder Cancer,Accrual was halted on the basis of the Data and Safety Monitoring Board review of a futility analysis.,SWOG Cancer Research Network
NCT04791319,dupilumab,DUPILUMAB,CHEMBL2108675,Antibody,APPROVAL,IL4R,1,Interleukin-4 receptor subunit alpha antagonist,PHASE2,199,"Dermatitis, Atopic",Premature Termination due to Interim Analysis (100 patients at Week 16) meeting futility.,"Janssen Research & Development, LLC"
